"","species","latitude","longitude","date_obs","source","carbon_values","nitrogen_values","ph_values","Landcover","Climate_Re","elevation","temp_mean","prec_mean","clouds_mean","fut_temp","ndvi_mean"
"933","Picea abies",47.004147,6.933261,2025-03-30,"gbif",612,934,57,"Forest","Cool Temperate Moist",672,12.8083333333333,110.583333333333,42.1408333333333,11.0833333333333,0.644008333333333
"934","Amanita muscaria",46.47099,8.77322,2022-10-02,"gbif",710,675,54,"Forest","Cool Temperate Moist",1205,8.86666666666662,129.5,41.3608333333333,7.21666666666664,0.493870833333333
"935","Amanita muscaria",46.70371,7.40595,2023-09-27,"gbif",687,1188,51,"Forest","Cool Temperate Moist",1739,7.26666666666671,161.333333333333,43.12,4.85000000000008,0.393570833333333
"936","Picea abies",46.65479,6.49147,2025-03-15,"gbif",658,734,65,"Forest","Cool Temperate Moist",539,13.475,98.9166666666667,38.3941666666667,12.2833333333334,0.669120833333333
"937","Pinus mugo",46.68512,9.49762,2025-05-27,"gbif",644,815,51,"Forest","Cool Temperate Moist",1234,10.3166666666667,96.9166666666667,37.74,7.9083333333333,0.547608333333333
"938","Picea abies",46.20817,7.85974,2025-03-28,"gbif",503,780,58,"Forest","Cool Temperate Moist",1808,4.44166666666672,112.75,35.6783333333333,2.41666666666669,0.589608333333333
"939","Abies alba",47.33489283,8.12004414,2024-11-21,"inat",680,694,54,"Forest","Cool Temperate Moist",524,13.3583333333333,110.75,41.4758333333333,11.7166666666668,0.650925
"940","Pinus sylvestris",46.81881,9.56827,2025-04-10,"gbif",716,838,54,"Forest","Cool Temperate Moist",1326,9.42500000000001,119.916666666667,39.4408333333333,6.76666666666671,0.487754166666667
"941","Picea abies",46.5811194444,9.7900611111,2025-07-20,"inat",561,885,52,"Forest","Cool Temperate Moist",1954,4.44166666666672,119.25,42.0441666666667,2.39166666666671,0.323933333333333
"942","Amanita muscaria",47.351137,8.591704,2023-10-22,"gbif",594,1085,56,"Forest","Cool Temperate Moist",565,13.0666666666667,118.916666666667,41.6933333333333,11.3583333333333,0.638329166666667
"943","Amanita muscaria",46.45177,9.949349,2023-10-14,"gbif",527,771,55,"Forest","Cool Temperate Moist",2021,4.64166666666671,102.583333333333,36.8883333333333,2.89999999999998,0.324045833333333
"944","Amanita muscaria",46.54338,6.797221,2023-10-14,"gbif",605,910,59,"Forest","Cool Temperate Moist",722,12.725,124.833333333333,38.6283333333333,11.65,0.7097625
"945","Amanita muscaria",47.165749,6.978501,2023-10-21,"gbif",706,941,60,"Forest","Cool Temperate Moist",1200,9.50833333333333,131.166666666667,44.3691666666667,7.58333333333337,0.539658333333333
"946","Pinus sylvestris",47.3490424454,8.0102976132,2022-03-06,"inat",723,685,53,"Forest","Cool Temperate Moist",498,13.4333333333333,101.083333333333,39.7875,11.7166666666667,0.641020833333333
